ID_Contract;Name_contract;date_signing;END_DATE;Clients_ID_Client;worker_ID_worker;object_ID_object;status_contract_id
1;Договор ЖК-001;15.01.2024 0:00:00;13.07.2024 0:00:00;1;1;1;2
2;Договор ЖК-002;20.01.2024 0:00:00;17.08.2024 0:00:00;2;2;2;4
3;Договор ЖК-003;01.02.2024 0:00:00;30.06.2024 0:00:00;3;3;3;2
4;Договор ЖК-004;10.02.2024 0:00:00;28.08.2024 0:00:00;4;4;4;3
5;Договор ЖК-005;15.02.2024 0:00:00;12.10.2024 0:00:00;5;5;5;4
6;Договор ЖК-006;01.03.2024 0:00:00;18.08.2024 0:00:00;6;6;6;4
7;Договор ЖК-007;05.03.2024 0:00:00;12.08.2024 0:00:00;7;7;7;2
8;Договор ЖК-008;10.03.2024 0:00:00;16.09.2024 0:00:00;8;8;8;4
9;Договор ЖК-009;15.03.2024 0:00:00;21.10.2024 0:00:00;9;9;9;2
10;Договор ЖК-010;01.04.2024 0:00:00;19.08.2024 0:00:00;10;10;10;4
11;Договор ЖК-011;05.04.2024 0:00:00;27.09.2024 0:00:00;11;11;11;1
12;Договор ЖК-012;10.04.2024 0:00:00;01.11.2024 0:00:00;12;12;12;3
13;Договор ЖК-013;15.04.2024 0:00:00;17.10.2024 0:00:00;13;13;13;2
14;Договор ЖК-014;01.05.2024 0:00:00;03.10.2024 0:00:00;14;14;14;3
15;Договор ЖК-015;05.05.2024 0:00:00;21.12.2024 0:00:00;15;15;15;3
16;Договор ЖК-016;10.05.2024 0:00:00;22.10.2024 0:00:00;16;16;16;4
17;Договор ЖК-017;15.05.2024 0:00:00;20.10.2024 0:00:00;17;17;17;4
18;Договор ЖК-018;01.06.2024 0:00:00;13.12.2024 0:00:00;18;18;18;1
19;Договор ЖК-019;05.06.2024 0:00:00;16.01.2025 0:00:00;19;19;19;2
20;Договор ЖК-020;10.06.2024 0:00:00;02.11.2024 0:00:00;20;20;20;2
21;Договор ЖК-021;15.06.2024 0:00:00;10.12.2024 0:00:00;21;21;21;1
22;Договор ЖК-022;01.07.2024 0:00:00;25.01.2025 0:00:00;22;22;22;4
23;Договор ЖК-023;05.07.2024 0:00:00;03.01.2025 0:00:00;23;23;23;1
24;Договор ЖК-024;10.07.2024 0:00:00;09.12.2024 0:00:00;24;24;24;3
25;Договор ЖК-025;15.07.2024 0:00:00;06.03.2025 0:00:00;25;25;25;3
26;Договор ЖК-026;01.08.2024 0:00:00;16.01.2025 0:00:00;26;26;26;1
27;Договор ЖК-027;05.08.2024 0:00:00;14.01.2025 0:00:00;27;27;27;3
28;Договор ЖК-028;10.08.2024 0:00:00;14.02.2025 0:00:00;28;28;28;2
29;Договор ЖК-029;15.08.2024 0:00:00;30.03.2025 0:00:00;29;29;29;3
30;Договор ЖК-030;01.09.2024 0:00:00;27.01.2025 0:00:00;30;30;30;4
31;Договор ЖК-031;05.09.2024 0:00:00;04.03.2025 0:00:00;31;31;31;1
32;Договор ЖК-032;10.09.2024 0:00:00;09.04.2025 0:00:00;32;32;32;3
33;Договор ЖК-033;15.09.2024 0:00:00;18.03.2025 0:00:00;33;33;33;1
34;Договор ЖК-034;01.10.2024 0:00:00;04.03.2025 0:00:00;34;34;34;2
35;Договор ЖК-035;05.10.2024 0:00:00;30.05.2025 0:00:00;35;35;35;2
36;Договор ЖК-036;10.10.2024 0:00:00;25.03.2025 0:00:00;36;36;36;4
37;Договор ЖК-037;15.10.2024 0:00:00;23.03.2025 0:00:00;37;37;37;4
38;Договор ЖК-038;01.11.2024 0:00:00;12.05.2025 0:00:00;38;38;38;2
39;Договор ЖК-039;05.11.2024 0:00:00;14.06.2025 0:00:00;39;39;39;2
40;Договор ЖК-040;10.11.2024 0:00:00;05.04.2025 0:00:00;40;40;40;2
41;Договор ЖК-041;15.11.2024 0:00:00;10.05.2025 0:00:00;41;41;41;2
42;Договор ЖК-042;01.12.2024 0:00:00;28.06.2025 0:00:00;42;42;42;3
43;Договор ЖК-043;05.12.2024 0:00:00;08.06.2025 0:00:00;43;43;43;4
44;Договор ЖК-044;10.12.2024 0:00:00;15.05.2025 0:00:00;44;44;44;4
45;Договор ЖК-045;15.12.2024 0:00:00;14.08.2025 0:00:00;45;45;45;2
46;Договор ЖК-046;01.01.2025 0:00:00;14.06.2025 0:00:00;46;46;46;2
47;Договор ЖК-047;05.01.2025 0:00:00;15.06.2025 0:00:00;47;47;47;1
48;Договор ЖК-048;10.01.2025 0:00:00;23.07.2025 0:00:00;48;48;48;1
49;Договор ЖК-049;15.01.2025 0:00:00;07.09.2025 0:00:00;49;49;49;1
50;Договор ЖК-050;01.02.2025 0:00:00;25.06.2025 0:00:00;50;50;50;4
