ID_object;name_object;square;cost;building_dates_plan;number_floors;parking_space;photo;IsDeleted;building_dates_fact;prepay;procent_prepay
1;Каркасный дом • 9 комнат • 85 м²;85;5000000;180;9;50;1.png;1;0;950000;19
2;Кирпичный дом • 12 комнат • 120 м²;120;7500000;210;12;80;2.png;1;0;3075000;41
3;Каркасный дом  5 комнат  65 м;65;3000000;150;5;30;3.png;0;150;30000;1
4;Брусовой дом • 8 комнат • 95 м²;95;6000000;200;8;60;4.png;1;0;2820000;47
5;Кирпичный дом • 16 комнат • 150 м²;150;12000000;240;16;120;5.png;1;0;5040000;42
6;Каркасный дом • 7 комнат • 80 м²;80;4500000;170;7;45;6.png;0;0;1890000;42
7;Каркасный дом • 6 комнат • 70 м²;70;3500000;160;6;35;7.png;0;0;1190000;34
8;Брусовой дом • 10 комнат • 100 м²;100;5500000;190;10;65;8.png;0;0;1980000;36
9;Кирпичный дом • 14 комнат • 140 м²;140;10000000;220;14;100;9.png;0;0;4600000;46
10;Каркасный дом • 4 комнат • 60 м²;60;2500000;140;4;25;10.png;0;0;750000;30
11;Каркасный дом • 8 комнат • 82 м²;82;4800000;175;8;48;11.png;0;0;2304000;48
12;Брусовой дом • 11 комнат • 115 м²;115;8500000;205;11;75;12.png;1;0;2975000;35
13;Брусовой дом • 9 комнат • 90 м²;90;5200000;185;9;55;13.png;0;0;2340000;45
14;Каркасный дом • 5 комнат • 68 м²;68;2800000;155;5;28;14.png;0;0;1316000;47
15;Кирпичный дом • 15 комнат • 145 м²;145;11000000;230;15;110;15.png;0;0;3410000;31
16;Каркасный дом • 7 комнат • 78 м²;78;4200000;165;7;42;16.png;0;0;1890000;45
17;Каркасный дом • 6 комнат • 72 м²;72;3200000;158;6;32;17.png;0;0;1312000;41
18;Брусовой дом • 10 комнат • 105 м²;105;5800000;195;10;58;18.png;0;0;2436000;42
19;Кирпичный дом • 14 комнат • 135 м²;135;12500000;225;14;125;19.png;0;0;4375000;35
20;Каркасный дом • 4 комнат • 62 м²;62;2200000;145;4;22;20.png;0;0;858000;39
21;Каркасный дом • 8 комнат • 84 м²;84;4900000;178;8;49;21.png;0;0;2058000;42
22;Брусовой дом • 11 комнат • 112 м²;112;8800000;208;11;88;22.png;0;0;3520000;40
23;Брусовой дом • 9 комнат • 92 м²;92;5400000;182;9;54;23.png;0;0;2430000;45
24;Каркасный дом • 5 комнат • 66 м²;66;2600000;152;5;26;24.png;0;0;884000;34
25;Кирпичный дом • 16 комнат • 148 м²;148;13500000;235;16;135;25.png;0;0;6345000;47
26;Каркасный дом • 7 комнат • 79 м²;79;4600000;168;7;46;26.png;0;0;1794000;39
27;Каркасный дом • 6 комнат • 71 м²;71;3400000;162;6;34;27.png;0;0;1632000;48
28;Брусовой дом • 10 комнат • 102 м²;102;5600000;188;10;56;28.png;0;0;1736000;31
29;Кирпичный дом • 15 комнат • 138 м²;138;12800000;228;15;128;29.png;0;0;5504000;43
30;Каркасный дом • 4 комнат • 64 м²;64;2400000;148;4;24;30.png;0;0;720000;30
31;Каркасный дом • 8 комнат • 86 м²;86;5100000;180;8;51;31.png;0;0;1632000;32
32;Брусовой дом • 12 комнат • 118 м²;118;9500000;212;12;95;32.png;0;0;3705000;39
33;Каркасный дом • 9 комнат • 88 м²;88;5300000;184;9;53;33.png;0;0;1643000;31
34;Каркасный дом • 5 комнат • 67 м²;67;2700000;154;5;27;34.png;0;0;1323000;49
35;Кирпичный дом • 17 комнат • 152 м²;152;14000000;238;17;140;35.png;0;0;5600000;40
36;Каркасный дом • 7 комнат • 77 м²;77;4400000;166;7;44;36.png;0;0;1980000;45
37;Каркасный дом • 6 комнат • 73 м²;73;3600000;159;6;36;37.png;0;0;1152000;32
38;Брусовой дом • 10 комнат • 104 м²;104;5700000;192;10;57;38.png;0;0;2166000;38
39;Кирпичный дом • 15 комнат • 142 м²;142;13200000;232;15;132;39.png;0;0;5940000;45
40;Каркасный дом • 4 комнат • 63 м²;63;2300000;147;4;23;40.png;0;0;920000;40
41;Каркасный дом • 8 комнат • 83 м²;83;4700000;176;8;47;41.png;0;0;1598000;34
42;Брусовой дом • 11 комнат • 116 м²;116;9200000;210;11;92;42.png;0;0;3772000;41
43;Брусовой дом • 9 комнат • 94 м²;94;5900000;186;9;59;43.png;0;0;1947000;33
44;Каркасный дом • 5 комнат • 69 м²;69;2900000;156;5;29;44.png;0;0;986000;34
45;Кирпичный дом • 17 комнат • 155 м²;155;14500000;242;17;145;45.png;0;0;5655000;39
46;Каркасный дом • 7 комнат • 76 м²;76;4300000;164;7;43;46.png;0;0;1892000;44
47;Каркасный дом • 6 комнат • 74 м²;74;3800000;161;6;38;47.png;0;0;1178000;31
48;Брусовой дом • 10 комнат • 108 м²;108;6100000;194;10;61;48.png;0;0;2196000;36
49;Кирпичный дом • 16 комнат • 144 м²;144;13800000;236;16;138;49.png;0;0;4830000;35
50;Каркасный дом • 4 комнат • 61 м²;61;2100000;144;4;21;50.png;0;0;819000;39
